notice_id,ocid,supplier_name,party_id,ppon,companies_house_number_raw,supplier_address,website,source_file
061662-2026,ocds-h6vhtk-0666c2,STAPLETON'S (TYRE SERVICES) LIMITED,GB-COH-00332098,PDXG-6679-WPXH,00332098,Fourth Avenue; Herts; SG6 2TT; United Kingdom,,061662-2026_release.json
061663-2026,ocds-h6vhtk-052491,GO SOUTH COAST LIMITED,GB-COH-03949597,PBYL-1316-QQHJ,03949597,3rd Floor 41-51 Grey Street; Newcastle Upon Tyne; NE1 6EE; United Kingdom,,061663-2026_release.json
061672-2026,ocds-h6vhtk-06837f,Washco Ltd,GB-COH-00231369,,00231369,Units 1 - 5 warwick Court; Ellough; NR34 7FD; United Kingdom,,061672-2026_release.json
061684-2026,ocds-h6vhtk-06c124,KPMG LLP,GB-COH-OC301540,PMGV-6254-LTTL,OC301540,15 Canada Square; London; E14 5GL; United Kingdom,,061684-2026_release.json
061692-2026,ocds-h6vhtk-05eac8,Alliance in Partnership Limited,GB-COH-03577003,,03577003,One Southampton Row; London; WC1B 5HA; United Kingdom,,061692-2026_release.json
061698-2026,ocds-h6vhtk-06776d,DRAIN LINE SOUTHERN LIMITED,GB-COH-04933418,PYHM-3571-LTRJ,04933418,Preston Park House; Brighton; BN1 6SB; United Kingdom,,061698-2026_release.json
061698-2026,ocds-h6vhtk-06776d,BIOMARSH ENVIRONMENTAL LTD,GB-COH-01124715,PMZC-5955-JWQZ,01124715,Peartree Farm; Waltham Abbey; EN9 2EW; United Kingdom,,061698-2026_release.json
061698-2026,ocds-h6vhtk-06776d,SEMILONG SERVICES LIMITED,GB-COH-06842550,PHML-7357-JLQW,06842550,15 Gate Lodge Close; Northampton; NN3 8RJ; United Kingdom,,061698-2026_release.json
061698-2026,ocds-h6vhtk-06776d,J. M. MORRIS PLANT HIRE LTD,GB-COH-09203975,PHJJ-1682-GVTD,09203975,Fulford House; Leamington Spa; CV32 4EA; United Kingdom,,061698-2026_release.json
061698-2026,ocds-h6vhtk-06776d,ZINGGROUP LTD,GB-COH-16381699,PCVD-3143-HRXV,16381699,3rd Floor 45 Albemarle Street; London; W1S 4JL; United Kingdom,,061698-2026_release.json
061698-2026,ocds-h6vhtk-06776d,J C BALLS & SONS LIMITED,GB-COH-04429834,PLLL-4251-NTMY,04429834,Midlands Industrial Estate; Belper; DE56 2HX; United Kingdom,,061698-2026_release.json
061699-2026,ocds-h6vhtk-06b5b0,WSP,GB-PPON-PXHY-9498-VZNJ,PXHY-9498-VZNJ,,"WSP House, 70 Chancery Lane, ; London, ; WC2A 1AF; United Kingdom",,061699-2026_release.json
061710-2026,ocds-h6vhtk-06bffe,ImmunoIVD,GB-PPON-PGZP-7968-GZXZ,PGZP-7968-GZXZ,,"Box 1140, SE-131 26 Nacka Strand, Sweden; Nacka Strand; 13126; Sweden",,061710-2026_release.json
061720-2026,ocds-h6vhtk-06c140,Randstad Solutions Ltd,GB-PPON-PTLC-1143-DCGD,PTLC-1143-DCGD,,450 Capability Green; Luton; LU1 3LU; United Kingdom,,061720-2026_release.json
061726-2026,ocds-h6vhtk-069931,Carbonaires Limited,GB-COH-13687587,,13687587,"Moray House, 23-35 Great Titchfield Street; London; W1W 7PA; United Kingdom",,061726-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,PRIMEGUARD CARPET CARE LTD,GB-PPON-PXQG-4123-YHBG,PXQG-4123-YHBG,,4 Limeslade Close; Cardiff; CF5 3BD; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,ULTIMATE CLEANING & MAINTENANCE GROUP LTD,GB-PPON-PWHD-2847-HTJR,PWHD-2847-HTJR,,"Rees-Jones House 63a Courtney Street, Manselton, SA5 9NR; Swansea; SA5 9NR; United Kingdom",,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,BELL CLEANING SERVICES LTD,GB-PPON-PNMC-2851-HLRG,PNMC-2851-HLRG,,"Venta House Unit 9a Port Road, Maesglas Retail Park, ; Newport; NP20 2NS; United Kingdom",,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,1ST CHOICE PRO CLEANING SERVICES LTD,GB-PPON-PGXN-4624-BPYL,PGXN-4624-BPYL,,"9 Caxton House Broad Street, Cambourne, ; Cambridge; CB23 6JN; United Kingdom",,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,Cleaning Solutions,GB-PPON-PJRW-3892-DXZD,PJRW-3892-DXZD,,214b Corsham Road; Wiltshire; SN12 8QF; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,CLEARLY BETTER CLEANING LTD,GB-PPON-PDVB-5489-ZGCJ,PDVB-5489-ZGCJ,,5 Alyson Way; Bridgend; CF35 6TP; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,ADAPT BUSINESS SERVICES LIMITED,GB-PPON-PBQL-5521-YNQD,PBQL-5521-YNQD,,Canolfan Gorseinon Millers Drive; Swansea; SA4 4QN; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,OS1 Limited,GB-PPON-PGZB-2262-DQXN,PGZB-2262-DQXN,,126 west cross lane ; Swansea; SA3 5NG; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,JCH EXTERIOR CLEANING SPECIALISTS LTD,GB-PPON-PNNR-1574-MCTY,PNNR-1574-MCTY,,17 St. Marks Close; Pontyclun; CF72 9SS; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,APT ICC LTD,GB-PPON-PLCY-9296-DZZP,PLCY-9296-DZZP,,Crown House Unit F; Tredegar; NP22 4EF; United Kingdom,,061728-2026_release.json
061728-2026,ocds-h6vhtk-05a43b,CDC Specialists Ltd,GB-PPON-PJCV-8393-DMDV,PJCV-8393-DMDV,,1-4 Ty Mawr Lane; Cardiff; CF14 2AZ; United Kingdom,,061728-2026_release.json
061750-2026,ocds-h6vhtk-06c147,Blackboard International B.V.,GB-PPON-PRBP-7423-NZQZ,PRBP-7423-NZQZ,,Databankweg 26; Amsterdam; 3821 AL; Netherlands,,061750-2026_release.json
061758-2026,ocds-h6vhtk-06c155,MORE IN COMMON,GB-COH-10900540,PHDZ-9519-DWNZ,10900540,320 City Road; London; EC1V 2NZ; United Kingdom,,061758-2026_release.json
061761-2026,ocds-h6vhtk-0648b4,FIELD MANAGEMENT IRELAND (NORTHERN IRELAND),GB-COH-FC033379,PVNV-7667-GYJG,FC033379,"18  The ormeau baths, ormeau avenue belfast BT28Hs; Belfast; BT28HS; United Kingdom",,061761-2026_release.json
061764-2026,ocds-h6vhtk-06c158,The Incredible Years Inc.,GB-FTS-42060,,,"1411 8th Ave W, Washington; Seattle; 98119; United States",,061764-2026_release.json
061778-2026,ocds-h6vhtk-06c0f8,Energy Systems Catapult service Ltd,GB-PPON-PJTH-2392-WWTN,PJTH-2392-WWTN,,Cannon House 7th Floor; Birmingham; B4 6BS; United Kingdom,,061778-2026_release.json
061779-2026,ocds-h6vhtk-06c14a,THE MATHWORKS LIMITED,GB-COH-03444214,PJYZ-5451-VPWJ,03444214,1 Cambridge Science Park; Cambridge; CB4 0JL; United Kingdom,,061779-2026_release.json
061782-2026,ocds-h6vhtk-067896,Element Materials Technology Environmental UK Ltd,GB-PPON-PMBB-6894-CQTL,PMBB-6894-CQTL,,3rd Floor Davidson Building; London; WC2E 7HA; United Kingdom,,061782-2026_release.json
061782-2026,ocds-h6vhtk-067896,Olfasense Uk Ltd,GB-PPON-PYYH-2719-HXYT,PYYH-2719-HXYT,,Unit 7 Anglo Office Park; Bristol; BS151NT; United Kingdom,,061782-2026_release.json
061792-2026,ocds-h6vhtk-06a3e6,Camlas Limited,GB-PPON-PWYM-6584-BJGZ,PWYM-6584-BJGZ,,3 Burt Street Cardiff Bay; Cardiff; CF10 5FZ; United Kingdom,,061792-2026_release.json
061793-2026,ocds-h6vhtk-06900d,Addiction Recovery Agency,GB-COH-2540814,PYXN-6285-RLCH,2540814,Kings Court King Street; Bristol; BS1 4EF; United Kingdom,,061793-2026_release.json
061797-2026,ocds-h6vhtk-06c164,The Supply Chain Consultancy Group,GB-FTS-184073,,,Innovation House  Molly Millars Close; Wokingham; RG41 2RX; United Kingdom,,061797-2026_release.json
061798-2026,ocds-h6vhtk-06a33d,R Holroyd & Sons,GB-PPON-PBXP-1647-CQJW,PBXP-1647-CQJW,,"Far Shawcroft Farm, Wadsworth; Hebden Bridge; HX7 8TE; United Kingdom",,061798-2026_release.json
061811-2026,ocds-h6vhtk-067b21,Cooleraid Ltd,GB-COH-02585899,,02585899,23 Black Bear Lane; Newmarket; CB8 0JT; United Kingdom,,061811-2026_release.json
061819-2026,ocds-h6vhtk-06c175,WAVEMAKER LIMITED,GB-COH-04078547,,04078547,Sea Containers; London; SE1 9ET; United Kingdom,,061819-2026_release.json
061825-2026,ocds-h6vhtk-05f667,3D 360 LIMITED,GB-COH-12628673,PDYW-8942-TZWH,12628673,The Counting House 4a Moss Lane; Manchester; M27 9SA; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,AIM 2 LEARN LTD,GB-COH-07687679,PVQY-6273-LDPX,07687679,3 Park Square; Leeds; LS1 2NE; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,APRICOT CENTRE CIC,GB-COH-07298409,PZDJ-7746-ZBQV,07298409,Huxhams Cross Farm; Totnes; TQ9 6AA; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,ASPIRE SPORTING ACADEMY LTD,GB-COH-07265113,,07265113,19 Victoria Street; Burnham-On-Sea; TA8 1AL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,BACK TO WORK TRAINING LIMITED,GB-COH-07559200,PJRX-1357-JTDN,07559200,"Unit 10 Newby Road, Hazel Grove; Stockport; SK7 5DA; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Blue Sky Assessing and Consultancy Ltd,GB-PPON-PXYR-8353-LXPG,PXYR-8353-LXPG,,"Jericho, Mells; Frome; BA112RL; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,BOURNEMOUTH CHURCHES HOUSING ASSOCIATION LIMITED,GB-COH-IP18497R,PDHL-9735-LXMG,IP18497R,"The Factory, 14 Alder Hills; POOLE; BH12 4AS; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,CENIT COLLEGE UK LIMITED,GB-COH-15635921,PRZZ-4245-PBRV,15635921,71-75 Shelton Street; London; WC2H 9JQ; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,CoLab Exeter,GB-CHC-1100990,PMVL-5298-XGRT,,WAT TYLER HOUSE; KING WILLIAM STREET; EX4 6PD; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Complete Training (Devon) Ltd,GB-COH-14321171,PPWJ-5188-BRZY,14321171,"Unit D4, Phase 4 - Drake Building Plymouth Science Park; Plymouth; PL6 8BX; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Bicton College (CORNWALL COLLEGE FURTHER EDUCATION CORPORATION ),GB-UKPRN-10001696,PZGV-1935-NXDL,,"Tregonissey Road,; St Austell; PL25 4DJ; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PROJECT COSMIC,GB-COH-03308716,PMDL-3722-YCQT,03308716,East Devon Business Centre Heathpark Way; Honiton; EX14 1SF; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,COMMUNITY TRAINING PORTAL LIMITED,GB-COH-05096438,,05096438,260-270 Butterfield Great Marlings; Luton; LU2 8DL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,DIGITAL PENINSULA NETWORK LIMITED,GB-COH-04143823,,04143823,1-2 Old Brewery Yard; Cornwall; TR18 2SL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,EAT THAT FROG C.I.C.,GB-COH-07483316,PBGT-3648-MMYY,07483316,Moorgate House; Newton Abbot; TQ12 2LG; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,EDUC8 TRAINING GROUP LIMITED,GB-COH-10865705,PVHM-2972-JLLR,10865705,Tredomen Gateway Tredomen Park; Hengoed; CF82 7EH; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Engage Train Support Limited,GB-COH-15250469,PCLQ-5888-HYLP,15250469,"Forum House, Stirling Road; Chichester; PO19 7DN; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,EXETER AND NORTH DEVON COLLEGES GROUP,GB-UKPRN-10002370,PVTH-6757-BCZT,,Hele Road; Exeter; EX4 4JS; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,FUTURE CONNECT TRAINING AND RECRUITMENT LTD,GB-COH-08851253,PNPW-5527-YRNG,08851253,"4th Floor Office Suite, Lawford House; London; N3 1QA; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Gloucestershire College,GB-UKPRN-10002696,PQWN-9858-ZCJM,,"Gloucestershire College, Princess Elizabeth Way; Cheltenham; GL51 7SJ; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,I & F LIMITED,GB-COH-05166983,PYCG-5258-PJCX,05166983,17 Moor Park Avenue; Preston; PR1 6AS; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,IUNGO SOLUTIONS LIMITED,GB-COH-12416667,PPTY-6723-YTLR,12416667,"West Bute House, 33-35 West Bute Street; Cardiff; CF10 5LH; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,JBC SKILLS TRAINING LIMITED,GB-COH-05801956,PWRG-8152-XHMJ,05801956,Stoneleigh House 70 Earlsdon Street; Coventry; CV5 6EJ; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,KIWI & YUZU LTD,GB-COH-09143451,PHDD-1292-PNVM,09143451,Tagus House; Southampton; SO14 3TJ; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Leep Talent Limited,GB-COH-04179244,PJPC-8652-WQLW,04179244,"Unit 10 Newby Road, Hazel Grove; Stockport; SK7 5DA; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,M2HSE TRAINING LIMITED,GB-COH-12804208,PRJM-5654-PRGD,12804208,7 Humphries Close; Dagenham; RM9 5BX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,MINDHUG LTD,GB-COH-12293600,PRQM-1595-TCBP,12293600,Bury Lodge; Stowmarket; IP14 1JA; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,OPEN DOORS INTERNATIONAL LANGUAGE SCHOOL,GB-COH-04301430,PMMM-5766-VPZY,04301430,Odils House 1-5 Manor Street; Plymouth; PL1 1TL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,OPTIMISE CYBER SOLUTIONS LTD,GB-COH-15635893,PVYB-9461-LNRT,15635893,"Junction 38 Business Park, Huddersfield Road; Barnsley; S75 5QQ; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PATRONUS SECURITY UK LIMITED,GB-COH-06913617,PXVH-4383-BXBH,06913617,"Strand Court Chambers, 1 Victoria Road; Exmouth; EX8 1DL; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PETER SMYTHE TRANSPORT TRAINING LIMITED,GB-COH-03655495,PPQM-4571-NZNR,03655495,Plot J Brierley Park Industrial Estate; Sutton-In-Ashfield; NG17 3FW; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PGL TRAINING (PLUMBING) LIMITED,GB-COH-05114567,PZXQ-5867-LQHY,05114567,1 Dunelm Rise; Spennymoor; DL16 6FS; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Plymouth City Council,GB-PPON-PBQP-8499-TLMP,PBQP-8499-TLMP,,"Ballard House, West Hoe Road; Plymouth; PL1 3BJ; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PRIMED TALENT LIMITED,GB-COH-10407730,PMZV-1946-LRWR,10407730,27 Old Gloucester Street; London; WC1N 3AX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,PROFESSIONAL TRAINING SOLUTIONS LIMITED,GB-COH-05995205,PZXP-8138-QVTV,05995205,"Office 2, Tweed House, Park Lane; Swanley; BR8 8DT; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Shoots Training Limited,GB-COH-04799102,PWHB-8591-QYTD,04799102,3 Wollaston Road; Bournemouth; BH6 4AR; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,SKERN LODGE LIMITED,GB-COH-05025194,PCHV-2843-CYDV,05025194,"Skern Training & Skills, Skern Lodge, Appledore; Bideford; EX391NG; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,"SKILLS-UK, EDUCATION & TRAINING LIMITED",GB-COH-14832353,,14832353,18 Beauchamp Road; Rotherham; S61 3SP; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,SOMERSET SKILLS & LEARNING CIC,GB-COH-08610815,PRZN-9219-DRGL,08610815,Churchill House; Bridgwater; TA6 4DL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,South Devon College,GB-UKPRN-10005977,PNVY-2142-GNWQ,,"Vantage Point, Long Road; Paignton; TQ4 7EJ; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,STEMRAN LIMITED,GB-COH-SC810105,PVHP-4833-QPDN,SC810105,16 New Inchinnan Road; Paisley; PA3 2PP; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,STEP AHEAD SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY,GB-COH-06668975,,06668975,Heatherlands Felcot Road; East Grinstead; RH19 2PX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,TEACH VOCATION GROUP LTD,GB-COH-07485016,PCXL-2394-BGQY,07485016,"Office 4, Wishing Well Barn; Lincoln; LN1 2PW; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,TECH EDUCATORS LTD,GB-COH-13790128,PMRD-3391-BCQD,13790128,Kiln House; Norwich; NR2 1DX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,TEMPUS TRAINING LIMITED,GB-COH-05442542,PPVM-4791-HLBD,05442542,"C/O Dawson & Co Accountants Suite 9, Rockfield House, 512 Darwen Road, Bromley Cross; Bolton; BL7 9DX; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,THE CONSTRUCTION SKILLS PEOPLE LTD,GB-COH-06616608,PJJB-9487-DRCZ,06616608,Unit 1 The Bridge Business Centre; Chesterfield; S41 9FG; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,THE CURIOUS LOUNGE C.I.C.,GB-COH-11896842,PPQP-1467-ZGPH,11896842,The Oaks Croft Road; Reading; RG7 1DR; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,THE SKILLS NETWORK LIMITED,GB-COH-06445363,PPJH-1899-JPJZ,06445363,"Unit 6 Abbey Court, Benedict Drive; Selby; YO8 8RY; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,THINK EMPLOYMENT LIMITED,GB-COH-04109488,PPQH-9252-CDQY,04109488,Provincial House; Grimsby; DN31 1NX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,TWIN TRAINING INTERNATIONAL LIMITED,GB-COH-03118260,PYLY-3825-NNCQ,03118260,12 Lambarde Square; London; SE10 9GB; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Weston College,GB-UKPRN-10007459,PDXW-8796-BVPP,,Knightstone Road; Weston-super-Mare; BS23 2AL; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,YOUNG DEVON,GB-COH-03240655,PXHG-4391-TWCW,03240655,10 Erme Road; Devon; PL21 0AB; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,ACCOUNTANCY LEARNING LTD,GB-COH-03454405,PXGV-3231-QCQV,03454405,Southernhay Lodge; Exeter; EX1 1QT; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,BLUE SCREEN IT LIMITED,GB-COH-05014538,PLJQ-6942-BRYV,05014538,Lowin House; Truro; TR1 2NA; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,City College Plymouth,GB-UKPRN-10005128,PQHV-9439-HHDJ,,Kings Road; Devonport; PL1 5QG; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,ELLISONS COMMERCIAL TRAINING LIMITED,GB-COH-13448976,PXDG-7861-TZWN,13448976,9 Hgh street; Wellington; TA21 8QT; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,HOUSE BUILDER XL LIMITED,GB-COH-03959121,PXTY-3595-ZNYP,03959121,"HERE, Bath Road; Bristol; BS4 3AP; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,I N F I N I T Y 27 LTD.,GB-COH-10768924,PCWV-6147-WCNM,10768924,Proto; Gateshead; NE8 3DF; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,SOUTH WEST ASSOCIATION OF TRAINING PROVIDERS LIMITED,GB-COH-07465523,PYRR-6751-GPLJ,07465523,Goodwood House; Taunton; TA1 2PX; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,THE INTERNATIONAL EDUCATION GROUP LIMITED,GB-COH-10900264,PDMP-3177-CJGW,10900264,"Accounting People, Devonshire House,  582 Honeypot Lane,  Stanmore; London; HA7 1JS; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,The Skills and Business Hub Limited,GB-COH-07885051,,07885051,Suite 2 MyWorkSpot; Maidenhead; SL6 1HN; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,"The University of the West of England, Bristol",GB-UKPRN-10007164,PYCL-1549-TNRX,,"Frenchay Campus, Coldharbour Lane,; Bristol; BS16 1QY; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,YTKO LIMITED,GB-COH-01392147,PZQN-9718-CMGY,01392147,East Wing East Wing   Goffs Oak House; Goffs Oak; EN7 5GE; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,COMMUNITY COUNCIL OF DEVON,GB-COH-03694095,PTBL-4678-PDGG,03694095,1 Northleigh House; Exeter; EX2 8HF; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,Devon & Cornwall Training Providers Network,GB-COH-5581019,,5581019,"Harscombe House, 1 Darklake View; Plymouth; PL6 7TL; United Kingdom",,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,I CAN DO THAT! COMMUNITY INTEREST COMPANY,GB-COH-07647982,PJQL-5911-VZQQ,07647982,1-2 Castle Circus House 136 Union Street; Torquay; TQ2 5QG; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,STUDIO ZAO INNOVATIONS LTD,GB-COH-11322999,PLVB-3441-HNRD,11322999,44 Southampton Buildings; London; WC2A 1AP; United Kingdom,,061825-2026_release.json
061825-2026,ocds-h6vhtk-05f667,WELLBEING WORKSHOPS DEVON CIC,GB-COH-13175532,PGQB-6145-NCQV,13175532,"4 Sunny View Cottages, Pound Lane; Exmouth; EX8 4NF; United Kingdom",,061825-2026_release.json
061829-2026,ocds-h6vhtk-058e41,Arcus Global Limited,GB-PPON-PRWV-8165-MVWQ,PRWV-8165-MVWQ,,"Future Business Centre, Kings Hedges Road; Cambridge; CB4 2HY; United Kingdom",,061829-2026_release.json
