sample_rank,sample_group,random_seed,companies_house_validation_status,companies_house_number,format_status,supplier_name,ppon,website,appearance_count,source_notice_ids
22,holdout,20260818,not_checked,13448976,plausible,ELLISONS COMMERCIAL TRAINING LIMITED,PXDG-7861-TZWN,,1,061825-2026
23,holdout,20260818,not_checked,04179244,plausible,Leep Talent Limited,PJPC-8652-WQLW,,1,061825-2026
24,holdout,20260818,not_checked,10865705,plausible,EDUC8 TRAINING GROUP LIMITED,PVHM-2972-JLLR,,1,061825-2026
25,holdout,20260818,not_checked,05995205,plausible,PROFESSIONAL TRAINING SOLUTIONS LIMITED,PZXP-8138-QVTV,,1,061825-2026
26,holdout,20260818,not_checked,03694095,plausible,COMMUNITY COUNCIL OF DEVON,PTBL-4678-PDGG,,1,061825-2026
27,holdout,20260818,not_checked,01124715,plausible,BIOMARSH ENVIRONMENTAL LTD,PMZC-5955-JWQZ,,1,061698-2026
28,holdout,20260818,not_checked,02585899,plausible,Cooleraid Ltd,,,1,061811-2026
29,holdout,20260818,not_checked,04301430,plausible,OPEN DOORS INTERNATIONAL LANGUAGE SCHOOL,PMMM-5766-VPZY,,1,061825-2026
30,holdout,20260818,not_checked,04187042,plausible,Polaris Britain Ltd,,,2,061580-2026 | 061594-2026
31,holdout,20260818,not_checked,06445363,plausible,THE SKILLS NETWORK LIMITED,PPJH-1899-JPJZ,,1,061825-2026
32,holdout,20260818,not_checked,11322999,plausible,STUDIO ZAO INNOVATIONS LTD,PLVB-3441-HNRD,,1,061825-2026
33,holdout,20260818,not_checked,01057375,plausible,Birkin Cleaning Services Ltd,,,1,061568-2026
34,holdout,20260818,not_checked,05166983,plausible,I & F LIMITED,PYCG-5258-PJCX,,1,061825-2026
35,holdout,20260818,not_checked,04109488,plausible,THINK EMPLOYMENT LIMITED,PPQH-9252-CDQY,,1,061825-2026
36,holdout,20260818,not_checked,08851253,plausible,FUTURE CONNECT TRAINING AND RECRUITMENT LTD,PNPW-5527-YRNG,,1,061825-2026
37,holdout,20260818,not_checked,08610815,plausible,SOMERSET SKILLS & LEARNING CIC,PRZN-9219-DRGL,,1,061825-2026
38,holdout,20260818,not_checked,04155336,plausible,CleanTEC Services Limited,,,1,061619-2026
39,holdout,20260818,not_checked,14321171,plausible,Complete Training (Devon) Ltd,PPWJ-5188-BRZY,,1,061825-2026
40,holdout,20260818,not_checked,07647982,plausible,I CAN DO THAT! COMMUNITY INTEREST COMPANY,PJQL-5911-VZQQ,,1,061825-2026
41,reserve,20260818,not_checked,03444214,plausible,THE MATHWORKS LIMITED,PJYZ-5451-VPWJ,,1,061779-2026
42,reserve,20260818,not_checked,09203975,plausible,J. M. MORRIS PLANT HIRE LTD,PHJJ-1682-GVTD,,1,061698-2026
43,reserve,20260818,not_checked,12804208,plausible,M2HSE TRAINING LIMITED,PRJM-5654-PRGD,,1,061825-2026
44,reserve,20260818,not_checked,10900540,plausible,MORE IN COMMON,PHDZ-9519-DWNZ,,1,061758-2026
45,reserve,20260818,not_checked,07485016,plausible,TEACH VOCATION GROUP LTD,PCXL-2394-BGQY,,1,061825-2026
46,reserve,20260818,not_checked,14832353,plausible,"SKILLS-UK, EDUCATION & TRAINING LIMITED",,,1,061825-2026
47,reserve,20260818,not_checked,00231369,plausible,Washco Ltd,,,1,061672-2026
48,reserve,20260818,not_checked,SC810105,plausible,STEMRAN LIMITED,PVHP-4833-QPDN,,1,061825-2026
49,reserve,20260818,not_checked,05025194,plausible,SKERN LODGE LIMITED,PCHV-2843-CYDV,,1,061825-2026
50,reserve,20260818,not_checked,04799102,plausible,Shoots Training Limited,PWHB-8591-QYTD,,1,061825-2026
51,reserve,20260818,not_checked,15250469,plausible,Engage Train Support Limited,PCLQ-5888-HYLP,,1,061825-2026
52,reserve,20260818,not_checked,15635893,plausible,OPTIMISE CYBER SOLUTIONS LTD,PVYB-9461-LNRT,,1,061825-2026
53,reserve,20260818,not_checked,06913617,plausible,PATRONUS SECURITY UK LIMITED,PXVH-4383-BXBH,,1,061825-2026
54,reserve,20260818,not_checked,13790128,plausible,TECH EDUCATORS LTD,PMRD-3391-BCQD,,1,061825-2026
55,reserve,20260818,not_checked,06616608,plausible,THE CONSTRUCTION SKILLS PEOPLE LTD,PJJB-9487-DRCZ,,1,061825-2026
56,reserve,20260818,not_checked,11896842,plausible,THE CURIOUS LOUNGE C.I.C.,PPQP-1467-ZGPH,,1,061825-2026
57,reserve,20260818,not_checked,13175532,plausible,WELLBEING WORKSHOPS DEVON CIC,PGQB-6145-NCQV,,1,061825-2026
58,reserve,20260818,not_checked,07559200,plausible,BACK TO WORK TRAINING LIMITED,PJRX-1357-JTDN,,1,061825-2026
59,reserve,20260818,not_checked,15635921,plausible,CENIT COLLEGE UK LIMITED,PRZZ-4245-PBRV,,1,061825-2026
60,reserve,20260818,not_checked,03308716,plausible,PROJECT COSMIC,PMDL-3722-YCQT,,1,061825-2026
61,reserve,20260818,not_checked,07885051,plausible,The Skills and Business Hub Limited,,,1,061825-2026
62,reserve,20260818,not_checked,01817398,plausible,MICHELDEVER TYRE SERVICES LIMITED,PRGR-8343-VZVY,,1,061662-2026
63,reserve,20260818,not_checked,07465523,plausible,SOUTH WEST ASSOCIATION OF TRAINING PROVIDERS LIMITED,PYRR-6751-GPLJ,,1,061825-2026
64,reserve,20260818,not_checked,03655495,plausible,PETER SMYTHE TRANSPORT TRAINING LIMITED,PPQM-4571-NZNR,,1,061825-2026
65,reserve,20260818,not_checked,10407730,plausible,PRIMED TALENT LIMITED,PMZV-1946-LRWR,,1,061825-2026
66,reserve,20260818,not_checked,05442542,plausible,TEMPUS TRAINING LIMITED,PPVM-4791-HLBD,,1,061825-2026
67,reserve,20260818,not_checked,00332098,plausible,STAPLETON'S (TYRE SERVICES) LIMITED,PDXG-6679-WPXH,,1,061662-2026
68,reserve,20260818,not_checked,OC301540,plausible,KPMG LLP,PMGV-6254-LTTL,,1,061684-2026
69,reserve,20260818,not_checked,05096438,plausible,COMMUNITY TRAINING PORTAL LIMITED,,,1,061825-2026
70,reserve,20260818,not_checked,05801956,plausible,JBC SKILLS TRAINING LIMITED,PWRG-8152-XHMJ,,1,061825-2026
71,reserve,20260818,not_checked,16381699,plausible,ZINGGROUP LTD,PCVD-3143-HRXV,,1,061698-2026
72,reserve,20260818,not_checked,07380035,plausible,FUNDAPPS LTD,PJZR-1476-HQVH,,1,061540-2026
73,reserve,20260818,not_checked,12293600,plausible,MINDHUG LTD,PRQM-1595-TCBP,,1,061825-2026
74,reserve,20260818,not_checked,06668975,plausible,STEP AHEAD SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY,,,1,061825-2026
75,reserve,20260818,not_checked,12416667,plausible,IUNGO SOLUTIONS LIMITED,PPTY-6723-YTLR,,1,061825-2026
76,reserve,20260818,not_checked,04808389,plausible,Speed Couriers Northern Ltd,,,2,061595-2026 | 061660-2026
77,reserve,20260818,not_checked,05014538,plausible,BLUE SCREEN IT LIMITED,PLJQ-6942-BRYV,,1,061825-2026
78,reserve,20260818,not_checked,10768924,plausible,I N F I N I T Y 27 LTD.,PCWV-6147-WCNM,,1,061825-2026
79,reserve,20260818,not_checked,IP18497R,plausible,BOURNEMOUTH CHURCHES HOUSING ASSOCIATION LIMITED,PDHL-9735-LXMG,,1,061825-2026
80,reserve,20260818,not_checked,03577003,plausible,Alliance in Partnership Limited,,,1,061692-2026
81,reserve,20260818,not_checked,07265113,plausible,ASPIRE SPORTING ACADEMY LTD,,,1,061825-2026
